Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,01/14/2026,"SMITHS FOOD #436 10600 LAS VEGAS NV  629455  01/13",-53.33,DEBIT_CARD,13429.60,,
DEBIT,01/14/2026,"ALBERTSONS #0332 LAS VEGAS NV                01/13",-7.99,DEBIT_CARD,13482.93,,
DEBIT,01/14/2026,"WAL-MART #2483 LAS VEGAS NV                  01/13",-34.49,DEBIT_CARD,13490.92,,
DEBIT,01/14/2026,"LUCY ETHIOPIAN RESTAURA LAS VEGAS NV         01/13",-86.61,DEBIT_CARD,13525.41,,
DEBIT,01/13/2026,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-188.55,ACH_DEBIT,13612.02,,
DEBIT,01/13/2026,"BRENDEN THEATRES 192-93222650 NV             01/13",-23.25,DEBIT_CARD,13800.57,,
DEBIT,01/13/2026,"QDOBA 1775 SEATTLE WA                        01/11",-13.63,DEBIT_CARD,13823.82,,
CREDIT,01/13/2026,"Zelle payment from NAZIRA MAHAMUD WFCT0ZPKZK87",40.00,PARTNERFI_TO_CHASE,13837.45,,
DEBIT,01/12/2026,"ORCA 8889886722 WA                           01/11",-3.00,DEBIT_CARD,13797.45,,
DEBIT,01/12/2026,"SAFEWAY #1508 SEATTLE WA                     01/11",-8.52,DEBIT_CARD,13800.45,,
DEBIT,01/12/2026,"SAFEWAY #1508 SEATTLE WA                     01/11",-10.84,DEBIT_CARD,13808.97,,
DEBIT,01/12/2026,"WENDYS 1556 SEATTLE WA                       01/10",-12.45,DEBIT_CARD,13819.81,,
DEBIT,01/12/2026,"STAPLES 1337 BURIEN WA               760845  01/10",-12.12,DEBIT_CARD,13832.26,,
DEBIT,01/12/2026,"ORCA 8889886722 WA                           01/10",-3.00,DEBIT_CARD,13844.38,,
DEBIT,01/12/2026,"HUDSON ST2406 LAS VEGAS NV                   01/09",-9.88,DEBIT_CARD,13847.38,,
CREDIT,01/12/2026,"Zelle payment from NAZIRA MAHAMUD WFCT0ZPCFF47",500.00,PARTNERFI_TO_CHASE,13857.26,,
DEBIT,01/09/2026,"CIRCLE K # 09555 LAS VEGAS NV        282425  01/09",-33.48,DEBIT_CARD,13357.26,,
DEBIT,01/09/2026,"TARGET T-2164 LAS VEGAS NV           050202  01/09",-16.81,DEBIT_CARD,13390.74,,
DEBIT,01/09/2026,"ATM WITHDRAWAL                       003316  01/094256 BLUE",-100.00,ATM,13407.55,,
DEBIT,01/09/2026,"GUIDANCE RES LLC MTG PYMT   1100346061      WEB ID: 1541322890",-22700.00,ACH_DEBIT,13507.55,,
DEBIT,01/09/2026,"Zelle payment to NAZIRA JPM99c1e1tvi",-100.00,CHASE_TO_PARTNERFI,36207.55,,
DEBIT,01/09/2026,"TACO BELL 731915 702-645-8431 NV             01/08",-6.82,DEBIT_CARD,36307.55,,
DEBIT,01/08/2026,"CLARK CO PARKS AND REC 7024558132 NV         01/07",-2.00,DEBIT_CARD,36314.37,,
DEBIT,01/07/2026,"DAVESHOTCHICKEN DAVESHOTCHICK NV             01/07",-20.24,DEBIT_CARD,36316.37,,
DEBIT,01/06/2026,"DAIRY QUEEN #15435 LAS VEGAS NV              01/05",-6.71,DEBIT_CARD,36336.61,,
DEBIT,01/06/2026,"CLARK CO PARKS AND REC 7024558132 NV         01/05",-2.00,DEBIT_CARD,36343.32,,
CREDIT,01/06/2026,"ROBINHOOD        CREDITS                    PPD ID: 5321710001",22700.00,ACH_CREDIT,36345.32,,
DEBIT,01/05/2026,"TACO BELL 031915 LAS VEGAS NV                01/04",-12.87,DEBIT_CARD,13645.32,,
DEBIT,01/05/2026,"Zelle payment to Firomsa fam JPM99c0vfu9d",-40.00,CHASE_TO_PARTNERFI,13658.19,,
DEBIT,01/05/2026,"ALBERTSONS #0332 LAS VEGAS NV                01/03",-11.47,DEBIT_CARD,13698.19,,
DEBIT,01/05/2026,"CLARK CO PARKS AND REC 7024558132 NV         01/03",-2.00,DEBIT_CARD,13709.66,,
DEBIT,01/05/2026,"WAL-MART #2483 LAS VEGAS NV                  01/03",-121.03,DEBIT_CARD,13711.66,,
DEBIT,01/05/2026,"SMITHS FOOD #436 10600 LAS VEGAS NV  472837  01/02",-17.07,DEBIT_CARD,13832.69,,
DEBIT,01/05/2026,"CAFE RIO 0038 BLUE DIAM LAS VEGAS NV         01/02",-35.84,DEBIT_CARD,13849.76,,
DEBIT,01/05/2026,"HHC - BLUE DIAMOND LAS VEGAS NV              01/01",-18.42,DEBIT_CARD,13885.60,,
DEBIT,01/02/2026,"TST* HOUSTON HOT CHICKE LAS VEGAS NV         01/02",-2.49,DEBIT_CARD,13904.02,,
DEBIT,01/02/2026,"GUIDANCE RES LLC MTG PYMT                   PPD ID: 1541322890",-1563.35,ACH_DEBIT,13906.51,,
DEBIT,01/02/2026,"Shade            WEB PMTS   RFCD33          WEB ID: 9084434801",-1670.00,ACH_DEBIT,15469.86,,
DEBIT,01/02/2026,"SMITHS FOOD #436 10600 LAS VEGAS NV  325682  12/31",-10.67,DEBIT_CARD,17139.86,,
DEBIT,01/02/2026,"CLARK CO PARKS AND REC 7024558132 NV         12/31",-2.00,DEBIT_CARD,17150.53,,
CREDIT,01/02/2026,"Zelle payment from FARHIA FAKQAY 27564068745",409.00,QUICKPAY_CREDIT,17152.53,,
CREDIT,01/02/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",2718.17,ACH_CREDIT,16743.53,,
CREDIT,01/02/2026,"KCHA SECTION 8   CONS PAY                   PPD ID: 9112331001",3511.00,ACH_CREDIT,14025.36,,
